"Annual population change at 31 March 2024"
,"Population at 31 March 2024 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8469.6","167.7","2.0"
"Victoria","6959.2","184.0","2.7"
"Queensland","5560.5","134.6","2.5"
"South Australia","1873.8","27.3","1.5"
"Western Australia","2951.6","89.0","3.1"
"Tasmania","575.7","2.2","0.4"
"Northern Territory","254.3","2.0","0.8"
"Australian Capital Territory","472.8","8.4","1.8"
"Australia (a)","27122.4","615.3","2.3"

"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

"Source: Australian Bureau of Statistics, National, state and territory population March 2024"
